,title,rating,ratingLevel,ratingDescription,release year,user rating score,user rating size,score_size,tsub,tpol,class
159,Bates Motel,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,83,80,1.0375,0.733333333,0.433333333,Parential Guidance
160,BoJack Horseman,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
161,Being Mary Jane: The Series,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
162,Documentary Now!,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
163,Grace and Frankie,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80,1.125,0.425,0.325,For Above 17
164,Unbreakable Kimmy Schmidt,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,84.09421488,82,1.025539206,0.733333333,0.433333333,Parential Guidance
165,The Get Down,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,80,80,1,0.425,0.325,For Above 17
166,Love,9,For mature audiences.  May not be suitable for children 17 and under.,110,2017,84.09421488,82,1.025539206,0.425,0.325,For Above 17
167,Bordertown,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,86,80,1.075,0.733333333,0.433333333,Parential Guidance
168,Jane The Virgin,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80,1.1375,0.733333333,0.433333333,Parential Guidance
169,Schitt's Creek,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,74,80,0.925,0.733333333,0.433333333,Parential Guidance
170,Dope,10,"language, drug content, sexuality/nudity, and some violence-all involving teens",100,2015,79,80,0.9875,0,0,For Above 17
171,Lovesick,9,For mature audiences.  May not be suitable for children 17 and under.,110,2016,84.09421488,82,1.025539206,0.425,0.325,For Above 17
172,The Carmichael Show,4,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,69,80,0.8625,0.733333333,0.433333333,Parential Guidance
